Ingredient,Frequency,,,,,,,,,,,Ingredient,Frequency
white sugar,3993,,,,,,,,,,,white sugar,3993
egg,3865,,,,,,,,,,,egg,3865
salt,3649,,,,,,,,,,,salt,3649
butter,3572,,,,,,,,,,,butter,3572
flour,3378,,,,,,,,,,,flour,3378
vanilla,2501,,,,,,,,,,,vanilla,2501
milk,2216,,,,,,,,,,,milk,2216
onion,2152,,,,,,,,,,,onion,2152
water,2034,,,,,,,,,,,water,2034
garlic,1642,,,,,,,,,,,garlic,1642
brown sugar,1370,,,,,,,,,,,others,51549
chocolate,1333,,,,,,,,,,,,
chicken,1222,,,,,,,,,,,,
pepper,1220,,,,,,,,,,,,
baking soda,1197,,,,,,,,,,,,
black pepper,1148,,,,,,,,,,,,
vegetable oil,1117,,,,,,,,,,,,
cinnamon,1108,,,,,,,,,,,,
baking powder,1054,,,,,,,,,,,,
sugar,986,,,,,,,,,,,,
tomato,931,,,,,,,,,,,,
olive,921,,,,,,,,,,,,
walnut,820,,,,,,,,,,,,
cream cheese,750,,,,,,,,,,,,
lemon juice,694,,,,,,,,,,,,
bell pepper,664,,,,,,,,,,,,
potato,651,,,,,,,,,,,,
celery,636,,,,,,,,,,,,
shortening,612,,,,,,,,,,,,
sour cream,567,,,,,,,,,,,,
mushroom,543,,,,,,,,,,,,
pecan,537,,,,,,,,,,,,
carrot,528,,,,,,,,,,,,
cheddar,527,,,,,,,,,,,,
cream,518,,,,,,,,,,,,
bread,513,,,,,,,,,,,,
lemon,506,,,,,,,,,,,,
parsley,506,,,,,,,,,,,,
nutmeg,492,,,,,,,,,,,,
vinegar,438,,,,,,,,,,,,
margarine,436,,,,,,,,,,,,
mayonnaise,422,,,,,,,,,,,,
almond,415,,,,,,,,,,,,
coconut,415,,,,,,,,,,,,
raisin,406,,,,,,,,,,,,
green onion,395,,,,,,,,,,,,
cocoa powder,394,,,,,,,,,,,,
apple,366,,,,,,,,,,,,
ham,366,,,,,,,,,,,,
ginger,364,,,,,,,,,,,,
oat,361,,,,,,,,,,,,
cheese,338,,,,,,,,,,,,
peanut butter,338,,,,,,,,,,,,
bean,338,,,,,,,,,,,,
pineapple,336,,,,,,,,,,,,
parmesan,334,,,,,,,,,,,,
chicken broth,331,,,,,,,,,,,,
ground beef,328,,,,,,,,,,,,
orange,322,,,,,,,,,,,,
mustard,322,,,,,,,,,,,,
cake,314,,,,,,,,,,,,
topping thawed,314,,,,,,,,,,,,
oregano,308,,,,,,,,,,,,
cherry,294,,,,,,,,,,,,
basil,288,,,,,,,,,,,,
soy sauce,286,,,,,,,,,,,,
cornstarch,285,,,,,,,,,,,,
clove,284,,,,,,,,,,,,
honey,271,,,,,,,,,,,,
orange juice,270,,,,,,,,,,,,
bacon,264,,,,,,,,,,,,
worcestershire sauce,252,,,,,,,,,,,,
whipping cream,237,,,,,,,,,,,,
bake,232,,,,,,,,,,,,
corn,229,,,,,,,,,,,,
banana,225,,,,,,,,,,,,
chili,225,,,,,,,,,,,,
pasta,224,,,,,,,,,,,,
beef,223,,,,,,,,,,,,
strawberry,220,,,,,,,,,,,,
thyme,215,,,,,,,,,,,,
pastry,215,,,,,,,,,,,,
white wine,215,,,,,,,,,,,,
pumpkin,213,,,,,,,,,,,,
paprika,213,,,,,,,,,,,,
corn syrup,203,,,,,,,,,,,,
sausage,185,,,,,,,,,,,,
buttermilk,182,,,,,,,,,,,,
salad dressing,180,,,,,,,,,,,,
tomato sauce,178,,,,,,,,,,,,
marshmallow,176,,,,,,,,,,,,
rice,172,,,,,,,,,,,,
cumin,168,,,,,,,,,,,,
broccoli,165,,,,,,,,,,,,
red wine,165,,,,,,,,,,,,
yeast,163,,,,,,,,,,,,
ketchup,163,,,,,,,,,,,,
cereal,160,,,,,,,,,,,,
hot pepper,160,,,,,,,,,,,,
vegetable,157,,,,,,,,,,,,
bay leaf,155,,,,,,,,,,,,
spice,154,,,,,,,,,,,,
sauce,152,,,,,,,,,,,,
chile pepper,152,,,,,,,,,,,,
cilantro,152,,,,,,,,,,,,
tea,151,,,,,,,,,,,,
tortillas,151,,,,,,,,,,,,
mozzarella,150,,,,,,,,,,,,
zucchini,148,,,,,,,,,,,,
shrimp,143,,,,,,,,,,,,
rum,140,,,,,,,,,,,,
spinach,137,,,,,,,,,,,,
cranberry,135,,,,,,,,,,,,
raspberry,133,,,,,,,,,,,,
liqueur,132,,,,,,,,,,,,
lime juice,132,,,,,,,,,,,,
pea,131,,,,,,,,,,,,
red pepper,129,,,,,,,,,,,,
lettuce,126,,,,,,,,,,,,
coffee,115,,,,,,,,,,,,
apple juice,115,,,,,,,,,,,,
salsa,115,,,,,,,,,,,,
dill,114,,,,,,,,,,,,
food coloring,114,,,,,,,,,,,,
